line, 99, #000, medium, 517, 283, 307, 384
line, 99, #000, small, 256, 96, 147, 371
line, 99, #000, small, 400, 203, 705, 136
line, 99, #0ffff, small, 361, 253, 565, 414
curve, 99, #000, medium, 551, 255, 551, 424, 159, 409, 339, 372
curve, 99, #000, medium, 635, 304, 87, 418, 478, 45, 96, 34
curve, 99, #99990, medium, 57, 414, 452, 59, 39, 68, 631, 475
curve, 99, #33ff0, medium, 163, 397, 432, 396, 269, 435, 327, 364
curve, 99, #06666, medium, 651, 470, 56, 288, 57, 436, 543, 109
curve, 99, #ff0ff, small, 53, 145, 469, 104, 164, 74, 266, 254
curve, 99, #ff660, small, 470, 104, 526, 194, 596, 147, 402, 169
curve, 99, #ff9900, medium, 469, 105, 595, 102, 533, 50, 549, 146
curve, 99, #ff9900, medium, 130, 31, 130, 408, 75, 196, 286, 230
curve, 99, #ffcc00, medium, 131, 412, 132, 35, 24, 270, 120, 96
